"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"SharedDataModelCondition","SharedDataModelCondition","","","",0,*,"","","","null {[]} {[]}
","Shared Data Model for Condition Assertions","The Shared Data Model for **Condition Assertions**","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"SharedDataModelCondition.participant","SharedDataModelCondition.participant","","","",1,1,"","","","Extension {[CanonicalType[http://hl7.org/fhir/StructureDefinition/valueset-reference]]} {[]}
","The participant we are describing","The participant we are describing","","","","","","","","","",,,,,"",,,,"SharedDataModelCondition.participant",1,1,"",""
"SharedDataModelCondition.condition","SharedDataModelCondition.condition","","","",0,*,"","","","code {[]} {[]}
","The condition, disease, phenotypic feature, etc that this participant may have.","The condition, disease, phenotypic feature, etc that this participant may have.","","","","","","","","","",,,,,"",,,,"SharedDataModelCondition.condition",0,*,"",""
"SharedDataModelCondition.conditonText","SharedDataModelCondition.conditonText","","","",1,1,"","","","string {[]} {[]}
","Detailed description / free text about this condition.","Detailed description / free text about this condition.","","","","","","","","","",,,,,"",,,,"SharedDataModelCondition.conditonText",1,1,"",""
"SharedDataModelCondition.ageAtAssertion","SharedDataModelCondition.ageAtAssertion","","","",0,1,"","","","Quantity {[]} {[]}
","The date or age at which this condition is being asserted.","The date or age at which this condition is being asserted.","","","","","","","","","",,,,,"",,,,"SharedDataModelCondition.ageAtAssertion",0,1,"",""
"SharedDataModelCondition.assertion","SharedDataModelCondition.assertion","","","",1,1,"","","","code {[]} {[]}
","Does the participant have this condition?","Does the participant have this condition?","","","","","","","","","",,,,,"",,,,"SharedDataModelCondition.assertion",1,1,"",""
"SharedDataModelCondition.conditionType","SharedDataModelCondition.conditionType","","","",0,1,"","","","code {[]} {[]}
","Does this condition represent a specific ""type"" of condition, such as ""Phenotypic Feature"" vs ""Disease"" in a rare disease setting.","Does this condition represent a specific ""type"" of condition, such as ""Phenotypic Feature"" vs ""Disease"" in a rare disease setting.","","","","","","","","","",,,,,"",,,,"SharedDataModelCondition.conditionType",0,1,"",""
"SharedDataModelCondition.ageAtOnset","SharedDataModelCondition.ageAtOnset","","","",0,1,"","","","code {[]} {[]}
","The age of onset for this condition. Could be expressed with a term, an age, or an age range.","The age of onset for this condition. Could be expressed with a term, an age, or an age range.","","","","","","","","","",,,,,"",,,,"SharedDataModelCondition.ageAtOnset",0,1,"",""
"SharedDataModelCondition.ageAtResolution","SharedDataModelCondition.ageAtResolution","","","",0,1,"","","","date {[]} {[]}
","The age at which this condition was resolved, abated, or cured. Should be left empty in cases of current active status. Could be expressed with a term, an age, or an age range.","The age at which this condition was resolved, abated, or cured. Should be left empty in cases of current active status. Could be expressed with a term, an age, or an age range.","","","","","","","","","",,,,,"",,,,"SharedDataModelCondition.ageAtResolution",0,1,"",""
"SharedDataModelCondition.otherModifiers","SharedDataModelCondition.otherModifiers","","","",0,*,"","","","code {[]} {[]}
","Any additional modifiers for this condition, such as severity.","Any additional modifiers for this condition, such as severity.","","","","","","","","","",,,,,"",,,,"SharedDataModelCondition.otherModifiers",0,*,"",""
"SharedDataModelCondition.stage","SharedDataModelCondition.stage","","","",0,1,"","","","code {[]} {[]}
","Cancer staging information","Cancer staging information","","","","","","","","","",,,,,"",,,,"SharedDataModelCondition.stage",0,1,"",""
"SharedDataModelCondition.location","SharedDataModelCondition.location","","","",0,*,"","","","code {[]} {[]}
","Location information, such as site and/or laterality, of the condition. Multiple values should be interpreted cumulatively, so complex location information, such as ""right lung"" and ""left kidney"" may require multiple condition rows.","Location information, such as site and/or laterality, of the condition. Multiple values should be interpreted cumulatively, so complex location information, such as ""right lung"" and ""left kidney"" may require multiple condition rows.","","","","","","","","","",,,,,"",,,,"SharedDataModelCondition.location",0,*,"",""
"SharedDataModelCondition.locationQualifier","SharedDataModelCondition.locationQualifier","","","",0,1,"","","","code {[]} {[]}
","Any spatial/location qualifiers","Any spatial/location qualifiers","","","","","","","","","",,,,,"",,,,"SharedDataModelCondition.locationQualifier",0,1,"",""
"SharedDataModelCondition.lateralityQualifier","SharedDataModelCondition.lateralityQualifier","","","",0,1,"","","","code {[]} {[]}
","Any laterality qualifiers","Any laterality qualifiers","","","","","","","","","",,,,,"",,,,"SharedDataModelCondition.lateralityQualifier",0,1,"",""
"SharedDataModelCondition.assertionSource","SharedDataModelCondition.assertionSource","","","",0,1,"","","","code {[]} {[]}
","Where or how was this this assertion about the Participant recorded? This can support understanding the differences between surveys, automated EHR extraction, manual chart abstraction, etc.","Where or how was this this assertion about the Participant recorded? This can support understanding the differences between surveys, automated EHR extraction, manual chart abstraction, etc.","","","","","","","","","",,,,,"",,,,"SharedDataModelCondition.assertionSource",0,1,"",""
"SharedDataModelCondition.asserter","SharedDataModelCondition.asserter","","","",0,1,"","","","code {[]} {[]}
","Who recorded this assertion about the Participant? This can support understanding the differences between self-report, doctor, trained research staff.","Who recorded this assertion about the Participant? This can support understanding the differences between self-report, doctor, trained research staff.","","","","","","","","","",,,,,"",,,,"SharedDataModelCondition.asserter",0,1,"",""
