"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"SharedDataModelPerson","SharedDataModelPerson","SharedDataModelPerson","","","",0,*,"","","","null {[]} {[]}
","Shared Data Model for Research Persons","The **Shared data model for Person**","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"SharedDataModelPerson","SharedDataModelPerson.identifier","SharedDataModelPerson.identifier","","","",1,1,"","","","string {[]} {[]}
","Unique Person identifier.","Unique Person identifier.","","","","","","","","","",,,,,"",,,,"SharedDataModelPerson.identifier",1,1,"",""
"SharedDataModelPerson","SharedDataModelPerson.participant","SharedDataModelPerson.participant","","","",1,1,"","","","Extension {[CanonicalType[http://hl7.org/fhir/StructureDefinition/valueset-reference]]} {[]}
","The participant we are describing","The participant we are describing","","","","","","","","","",,,,,"",,,,"SharedDataModelPerson.participant",1,1,"",""
"SharedDataModelResearchCollection","SharedDataModelResearchCollection","SharedDataModelResearchCollection","","","",0,*,"","","","null {[]} {[]}
","Shared Data Model for Research Collection","The **Shared Data Model for Research Collection** represent various collections of research data including, but not limited, to Consortia, Programs, adhoc collections of Studies and datasets among other types of collections.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"SharedDataModelResearchCollection","SharedDataModelResearchCollection.name","SharedDataModelResearchCollection.name","","","",1,1,"","","","string {[]} {[]}
","The title of the collection.","The title of the collection.","","","","","","","","","",,,,,"",,,,"SharedDataModelResearchCollection.name",1,1,"",""
"SharedDataModelResearchCollection","SharedDataModelResearchCollection.description","SharedDataModelResearchCollection.description","","","",0,1,"","","","string {[]} {[]}
","The description of the collection.","The description of the collection.","","","","","","","","","",,,,,"",,,,"SharedDataModelResearchCollection.description",0,1,"",""
"SharedDataModelResearchCollection","SharedDataModelResearchCollection.type","SharedDataModelResearchCollection.type","","","",1,1,"","","","code {[]} {[]}
","The type of collection being described.","The type of collection being described.","","","","","","","","","",,"extensible","","https://nih-ncpi.github.io/ncpi-fhir-ig-2/ValueSet/collection-type-vs","",,,,"SharedDataModelResearchCollection.type",1,1,"",""
"SharedDataModelResearchCollection","SharedDataModelResearchCollection.website","SharedDataModelResearchCollection.website","","","",0,1,"","","","url {[]} {[]}
","A URL for a website, document, or other reference that provides more information as an authoritative source of information about the collection.","A URL for a website, document, or other reference that provides more information as an authoritative source of information about the collection.","","","","","","","","","",,,,,"",,,,"SharedDataModelResearchCollection.website",0,1,"",""
"SharedDataModelResearchCollection","SharedDataModelResearchCollection.items","SharedDataModelResearchCollection.items","","","",1,*,"","","","Reference {[]} {[]}
","List of references to items included in the list. These can be studies, datasets, etc.","List of references to items included in the list. These can be studies, datasets, etc.","","","","","","","","","",,,,,"",,,,"SharedDataModelResearchCollection.items",1,*,"",""
"SharedDataModelResearchDataAccessPolicy","SharedDataModelResearchDataAccessPolicy","SharedDataModelResearchDataAccessPolicy","","","",0,*,"","","","null {[]} {[]}
","Shared Data Model for Research Data Access Policy","The **Shared Data Model for Research Data Access Policy** represent the various Data Use Agreements that govern a researcher's access and use of research data.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"SharedDataModelResearchDataAccessPolicy","SharedDataModelResearchDataAccessPolicy.policyCode","SharedDataModelResearchDataAccessPolicy.policyCode","","","",1,*,"","","","code {[]} {[]}
","Enumerated values that describe the policy including: dbGaP consent codes, DUO Terms among others. The bindings to these terms should enable groups to create their own codes.","Enumerated values that describe the policy including: dbGaP consent codes, DUO Terms among others. The bindings to these terms should enable groups to create their own codes.","","","","","","","","","",,"required","","https://nih-ncpi.github.io/ncpi-fhir-ig-2/ValueSet/research-data-access-code-vs","",,,,"SharedDataModelResearchDataAccessPolicy.policyCode",1,*,"",""
