URL,Version,Status,OIDs,Name,Title,Description,Used
http://hl7.org/fhir/research-study-party-role,0.2.0,active,"2.16.840.1.113883.4.642.4.1968",ResearchStudyPartyRole,Research Study Party Role,"This is a ResearchStudy's party role.","ValueSet/research-study-party-role-vs"
http://hl7.org/fhir/title-type,0.2.0,active,"2.16.840.1.113883.4.642.1.1492",TitleType,TitleType,"Used to express the reason and specific aspect for the variant title, such as language and specific language.","ValueSet/title-type-vs"
http://human-phenotype-ontology.org,1.0.0,active,"2.16.840.1.113883.6.339",HPO,Human Phenotype Ontology,"""The Human Phenotype Ontology (HPO) provides a standardized vocabulary of phenotypic abnormalities encountered in human disease. Each term in the HPO describes a phenotypic abnormality, such as Atrial septal defect. The HPO is currently being developed using the medical literature, Orphanet, DECIPHER, and OMIM. HPO currently contains over 13,000 terms and over 156,000 annotations to hereditary diseases. The HPO project and others have developed software for phenotype-driven differential diagnostics, genomic diagnostics, and translational research. The HPO is a flagship product of the Monarch Initiative, an NIH-supported international consortium dedicated to semantic integration of biomedical and model organism data with the ultimate goal of improving biomedical research. The HPO, as a part of the Monarch Initiative, is a central component of one of the 13 driver projects in the Global Alliance for Genomics and Health (GA4GH) strategic roadmap.""    Please see https://hpo.jax.org/app/download/ontology.    Releases, produced approximately every 2 months, can be found [here](https://github.com/obophenotype/human-phenotype-ontology/releases).","ValueSet/phenotypic-feature-code-vs,ValueSet/condition-code-vs"
http://loinc.org,3.1.0,active,"2.16.840.1.113883.6.1",LOINC,Logical Observation Identifiers, Names and Codes (LOINC),"LOINC provides a set of universal names and ID codes for identifying laboratory and clinical test results.1,2 LOINC facilitates the exchange and pooling of results, such as blood hemoglobin, serum potassium, or vital signs, for clinical care, outcomes management, and research. LOINC's universal identifiers (names and codes) can be used in the context of order and observation exchanges between information systems that use syntax standards such as HL73, CEN TC251, ISO TC215, ASTM4, and DICOM. Specifically, the identifier can be used as the coded value for an observation in any other standard that uses the observation/observation value paradigm, whether messages, documents, application programming interface (API), etc. For example, LOINC codes are used widely in the OBX segment Observation Identifier field (OBX-3) of an ORU HL7 (HL7 version 2.x or ASTM 1238-9410) message that may be sent between a Clinical Laboratory Information Management Systems (LIMS) and Electronic Health Record Systems (EHR).5, 6 In this way, LOINC codes provide universal identifiers that allow the exchange of clinical data between heterogeneous computing environments.","ValueSet/phenotypic-feature-assertion-vs"
http://purl.obolibrary.org/obo/mondo.owl,1.0.0,active,"2.16.840.1.113883.3.9216",MONDO,Mondo Disease Ontology,"The Mondo Disease Ontology is a semi-automatically constructed ontology that merges in multiple disease resources to yield a coherent merged ontology that contains cross-species disease terminology.    Numerous sources for disease definitions and data models currently exist, which include HPO, OMIM, SNOMED CT, ICD, PhenoDB, MedDRA, MedGen, ORDO, DO, GARD, etc; however, these sources partially overlap and sometimes conflict, making it difficult to know definitively how they relate to each other. This has resulted in a proliferation of mappings between disease entries in different resources; however mappings are problematic: collectively, they are expensive to create and maintain. Most importantly, the mappings lack completeness, accuracy, and precision; as a result, mapping calls are often inconsistent between resources. The UMLS provides intermediate concepts through which other resources can be mapped, but these mappings suffer from the same challenges: they are not guaranteed to be one-to-one, especially in areas with evolving disease concepts such as rare disease.    In order to address the lack of a unified disease terminology that provides precise equivalences between disease concepts, we created Mondo, which provides a logic-based structure for unifying multiple disease resources.    Mondo’s development is coordinated with the Human Phenotype Ontology (HPO), which describes the individual phenotypic features that constitute a disease. Like the HPO, Mondo provides a hierarchical structure which can be used for classification or “rolling up” diseases to higher level groupings. It provides mappings to other disease resources, but in contrast to other mappings between ontologies, we precisely annotate each mapping using strict semantics, so that we know when two disease names or identifiers are equivalent or one-to-one, in contrast to simply being closely related.    For more information, see [https://mondo.monarchinitiative.org/](https://mondo.monarchinitiative.org/)","ValueSet/condition-code-vs"
http://snomed.info/sct,null,active,"2.16.840.1.113883.6.96",SNOMED_CT,SNOMED CT (all versions),"SNOMED CT is the most comprehensive and precise clinical health terminology product in the world, owned and distributed around the world by The International Health Terminology Standards Development Organisation (IHTSDO).","ValueSet/consanguinity-assertion-vs"
http://terminology.hl7.org/CodeSystem/v3-RoleCode,3.0.0,active,"2.16.840.1.113883.5.111",RoleCode,RoleCode,"A set of codes further specifying the kind of Role; specific classification codes for further qualifying RoleClass codes.","ValueSet/v3-FamilyMember"
https://nih-ncpi.github.io/ncpi-fhir-ig-2/CodeSystem/collection-type,0.2.0,draft,,CollectionType,Collection Type,"Enumerated list of collection types","ValueSet/collection-type-vs"
https://nih-ncpi.github.io/ncpi-fhir-ig-2/CodeSystem/condition-type,0.2.0,active,,ConditionType,Type of Condition,"Code System for type of condition","ValueSet/condition-type-vs"
https://nih-ncpi.github.io/ncpi-fhir-ig-2/CodeSystem/ncpi-family-types,0.2.0,active,,NcpiFamilyTypes,NCPI Family Types CodeSystem,"CodeSystem for Types of Families","ValueSet/ncpi-family-types-vs"
https://nih-ncpi.github.io/ncpi-fhir-ig-2/CodeSystem/research-data-access-code,0.2.0,active,,ResearchDataAccessCode,Research Data Access Codes,"Enumerated list of access codes such as dbGaP consent codes among others.","ValueSet/research-data-access-code-vs"
https://nih-ncpi.github.io/ncpi-fhir-ig-2/CodeSystem/research-data-access-type,0.2.0,active,,ResearchDataAccessType,Research Data Access Type Codes,"Enumerated list of access type codes such as 'Open Access', 'Registered Access' and 'Controlled Access'","ValueSet/research-data-access-type-vs"
